,region,week_last_day,epidemiological_week,total_inhabitants,last_available_confirmed,last_available_deaths,new_week_cases,new_week_deaths,prevalence,mortality,lethality,incidence_cases,incidence_deaths,cases_growth_factor,deaths_growth_factor,new_week_cases_mm,new_week_deaths_mm,incidence_cases_mm,incidence_deaths_mm
148,Norte,06/02/2021,58,18672590.959272966,1060581,23362,39761,1318,5679.881288639842,125.11386368905721,2.202754905094472,212.9377764806354,7.058474117891337,0.8983912512992002,0.971976401179941,42781,1296,229.11121489947595,6.940654367820314
149,Norte,13/02/2021,59,18672590.959272966,1095986,24752,35405,1390,5869.490754606415,132.5579297162719,2.2584230090530353,189.60946596657269,7.444066027214688,0.8904454113327129,1.054628224582701,39808,1354,213.18948231033258,7.2548403680097096
150,Norte,20/02/2021,60,18672590.959272966,1128151,25968,32165,1216,6041.748584653436,139.0701486292885,2.3018195259322556,172.25783004702188,6.51221891301659,0.9084875017652874,0.874820143884892,35777,1308,191.60169083141,7.004919686040871
151,Norte,27/02/2021,61,18672590.959272966,1165056,27015,36905,1047,6239.391215397579,144.67729764403222,2.318772659854977,197.64263074414248,5.607149014743725,1.1473651484532876,0.8610197368421053,34825,1217,186.50330891924568,6.521144651658335
152,Norte,06/03/2021,62,18672590.959272966,1201182,28198,36126,1183,6432.86195590057,151.0127869319423,2.3475210251235867,193.47074050299122,6.335489287910054,0.9788917490854898,1.1298949379178607,35065,1148,187.79040043138522,6.151619071890123
153,Norte,13/03/2021,63,18672590.959272966,1240073,29400,38891,1202,6641.140496810215,157.4500296403682,2.370828168986826,208.2785409096449,6.437242708425939,1.076537673697614,1.0160608622147083,37307,1144,199.79730405225953,6.1266270036932395
154,Norte,20/03/2021,64,18672590.959272966,1286410,30698,46337,1298,6889.295667675717,164.40139489455862,2.386330952029291,248.15517086550142,6.9513652541904065,1.1914581779846236,1.0798668885191347,40451,1227,216.63481742604586,6.5746990835088
155,Norte,27/03/2021,65,18672590.959272966,1332233,31946,45823,1248,7134.698140744104,171.0849879894967,2.397928890817147,245.4024730683875,6.683593094938079,0.9889073526555452,0.9614791987673343,43683,1249,233.94539494784462,6.690733685851474
156,Norte,03/04/2021,66,18672590.959272966,1368194,33113,35961,1167,7327.285233121563,177.334790186446,2.4201977204987015,192.58709237745856,6.24980219694931,0.7847805687100364,0.9350961538461539,42707,1237,228.7149121037825,6.628253515359265
157,Norte,10/04/2021,67,18672590.959272966,1407026,34336,38832,1223,7535.24780288329,183.88449720175794,2.4403244858303967,207.96256976172717,6.549707015311916,1.0798364895303245,1.047986289631534,40205,1212,215.31737840252444,6.494367435733101
